GEO_ID,NAME,POPGROUP,POPGROUP_LABEL,B01003_001E,B01003_001M,,,fips,county,state
0500000US06075,"San Francisco County, California",1,Total population,865933,*****,CA,,06077,San Joaquin County,CA
0500000US06077,"San Joaquin County, California",1,Total population,771406,*****,CA,,06079,San Luis Obispo County,CA
0500000US06079,"San Luis Obispo County, California",1,Total population,282771,*****,CA,,06081,San Mateo County,CA
0500000US06081,"San Mateo County, California",1,Total population,762488,*****,CA,,06083,Santa Barbara County,CA
0500000US06083,"Santa Barbara County, California",1,Total population,447651,*****,CA,,06085,Santa Clara County,CA
0500000US06085,"Santa Clara County, California",1,Total population,1932022,*****,CA,,06087,Santa Cruz County,CA
0500000US06087,"Santa Cruz County, California",1,Total population,272138,*****,CA,,06089,Shasta County,CA
0500000US06089,"Shasta County, California",1,Total population,181935,*****,CA,,06091,Sierra County,CA
0500000US06091,"Sierra County, California",1,Total population,3079,228,CA,,06093,Siskiyou County,CA
0500000US06093,"Siskiyou County, California",1,Total population,44151,*****,CA,,06095,Solano County,CA
0500000US06095,"Solano County, California",1,Total population,451432,*****,CA,,06097,Sonoma County,CA
0500000US06097,"Sonoma County, California",1,Total population,492498,*****,CA,,06099,Stanislaus County,CA
0500000US06099,"Stanislaus County, California",1,Total population,550842,*****,CA,,06101,Sutter County,CA
0500000US06101,"Sutter County, California",1,Total population,99080,*****,CA,,06103,Tehama County,CA
0500000US06103,"Tehama County, California",1,Total population,65345,*****,CA,,06105,Trinity County,CA
0500000US06105,"Trinity County, California",1,Total population,15818,*****,CA,,06107,Tulare County,CA
0500000US06107,"Tulare County, California",1,Total population,470999,*****,CA,,06109,Tuolumne County,CA
0500000US06109,"Tuolumne County, California",1,Total population,55243,*****,CA,,06111,Ventura County,CA
0500000US06111,"Ventura County, California",1,Total population,845255,*****,CA,,06113,Yolo County,CA
0500000US06113,"Yolo County, California",1,Total population,216703,*****,CA,,06115,Yuba County,CA
0500000US06115,"Yuba County, California",1,Total population,80404,*****,CA,,08001,Adams County,CO
0500000US08001,"Adams County, Colorado",1,Total population,514969,*****,CO,,08003,Alamosa County,CO
0500000US08003,"Alamosa County, Colorado",1,Total population,16377,*****,CO,,08005,Arapahoe County,CO
0500000US08005,"Arapahoe County, Colorado",1,Total population,651621,*****,CO,,08007,Archuleta County,CO
0500000US08007,"Archuleta County, Colorado",1,Total population,13267,*****,CO,,08009,Baca County,CO
0500000US08009,"Baca County, Colorado",1,Total population,3519,*****,CO,,08011,Bent County,CO
0500000US08011,"Bent County, Colorado",1,Total population,5861,*****,CO,,08013,Boulder County,CO
0500000US08013,"Boulder County, Colorado",1,Total population,328713,*****,CO,,08014,Broomfield County,CO
0500000US08014,"Broomfield County, Colorado",1,Total population,72697,*****,CO,,08015,Chaffee County,CO
0500000US08015,"Chaffee County, Colorado",1,Total population,19436,*****,CO,,08017,Cheyenne County,CO
0500000US08017,"Cheyenne County, Colorado",1,Total population,1691,157,CO,,08019,Clear Creek County,CO
0500000US08019,"Clear Creek County, Colorado",1,Total population,9427,*****,CO,,08021,Conejos County,CO
0500000US08021,"Conejos County, Colorado",1,Total population,7579,*****,CO,,08023,Costilla County,CO
0500000US08023,"Costilla County, Colorado",1,Total population,3517,*****,CO,,08025,Crowley County,CO
0500000US08025,"Crowley County, Colorado",1,Total population,6018,*****,CO,,08027,Custer County,CO
0500000US08027,"Custer County, Colorado",1,Total population,4720,*****,CO,,08029,Delta County,CO
0500000US08029,"Delta County, Colorado",1,Total population,31133,*****,CO,,08031,Denver County,CO
0500000US08031,"Denver County, Colorado",1,Total population,706799,*****,CO,,08033,Dolores County,CO
0500000US08033,"Dolores County, Colorado",1,Total population,2288,*****,CO,,08035,Douglas County,CO
0500000US08035,"Douglas County, Colorado",1,Total population,351929,*****,CO,,08037,Eagle County,CO
0500000US08037,"Eagle County, Colorado",1,Total population,55693,*****,CO,,08039,Elbert County,CO
0500000US08039,"Elbert County, Colorado",1,Total population,25897,*****,CO,,08041,El Paso County,CO
0500000US08041,"El Paso County, Colorado",1,Total population,722736,*****,CO,,08043,Fremont County,CO
0500000US08043,"Fremont County, Colorado",1,Total population,49007,*****,CO,,08045,Garfield County,CO
0500000US08045,"Garfield County, Colorado",1,Total population,61221,*****,CO,,08047,Gilpin County,CO
0500000US08047,"Gilpin County, Colorado",1,Total population,5812,*****,CO,,08049,Grand County,CO
0500000US08049,"Grand County, Colorado",1,Total population,15629,*****,CO,,08051,Gunnison County,CO
0500000US08051,"Gunnison County, Colorado",1,Total population,16851,*****,CO,,08053,Hinsdale County,CO
0500000US08053,"Hinsdale County, Colorado",1,Total population,858,102,CO,,08055,Huerfano County,CO
